ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,Cost,CostUSD,Currency
subhasishstorage,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_sb_storage/providers/microsoft.storage/storageaccounts/subhasishstorage,Storage account,rg_sb_storage,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_sb_storage,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.064606408,0.000784417,INR
sbmemidemostorage,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-memidemo-storage/providers/microsoft.storage/storageaccounts/sbmemidemostorage,Storage account,rg-sb-memidemo-storage,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-memidemo-storage,"Asia, IN South, IN Central",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.031314368,0.000379241,INR
readit-sb-kv,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.keyvault/vaults/readit-sb-kv,Key vault,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.014371814,0.000175146,INR
sbimagecdn,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-memidemo-storage/providers/microsoft.cdn/profiles/sbimagecdn,Front Door Standard/Premium (Preview),rg-sb-memidemo-storage,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-memidemo-storage,Unknown,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.004855923,5.88089E-05,INR
sbreaditfunctionapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.web/sites/sbreaditfunctionapp,App Service web app,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.002593728,3.15771E-05,INR
default,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.storage/storageaccounts/readitorderssb/providers/microsoft.eventgrid/extensiontopics/default,microsoft.eventgrid/extensiontopics,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.001931949,2.35442E-05,INR
sb-readit-inventory-secondary,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.web/sites/sb-readit-inventory-secondary,App Service web app,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,US East,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.000293798,3.58044E-06,INR
sbeventhubdemo,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-eventhub/providers/microsoft.eventhub/namespaces/sbeventhubdemo,Event Hubs namespace,rg-sb-eventhub,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-eventhub,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],0.000102566,1.24215E-06,INR
sbservicebusdemo,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-servicebus/providers/microsoft.servicebus/namespaces/sbservicebusdemo,Service Bus namespaces,rg-sb-servicebus,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg-sb-servicebus,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],9.03147E-05,1.09378E-06,INR
sb-readit-cosmosdb,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.documentdb/databaseaccounts/sb-readit-cosmosdb,Cosmos DB account,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""defaultexperience\"":\""core (sql)\"""",""\""hidden-cosmos-mmspecial\"":\""\""""]",0,0,INR
