"NAME","TYPEDISPLAYNAME","LOCATIONDISPLAYNAME","NAME","TYPE","KIND","LOCATION","SUBSCRIPTION","RESOURCE GROUP","TAGS","EXTENDEDLOCATION"
"sb-readit-inventory","App Service","Central India","sb-readit-inventory","App Service","app","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"sb-readit-inventory-secondary","Application Insights","East US","sb-readit-inventory-secondary","Application Insights","web","East US","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"sbreaditfunctionapp","Application Insights","Central India","sbreaditfunctionapp","Application Insights","web","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"sbreaditfunctionapp","Function App","Central India","sbreaditfunctionapp","App Service","functionapp","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{""hidden-link: /app-insights-instrumentation-key"":""c7b179cc-de7b-468d-ab2d-84405cdf5555"",""hidden-link: /app-insights-resource-id"":""/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourceGroups/rg_MemiLavi_ReadITApp/providers/microsoft.insights/components/sbreaditfunctionapp"",""hidden-link: /app-insights-conn-string"":""InstrumentationKey=c7b179cc-de7b-468d-ab2d-84405cdf5555;IngestionEndpoint=https://centralindia-0.in.applicationinsights.azure.com/;LiveEndpoint=https://centralindia.livediagnostics.monitor.azure.com/""}","null"
"sbreaditredis","Azure Cache for Redis","Central India","sbreaditredis","Azure Cache for Redis","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"SUBHASISH-AG","Action group","Global","SUBHASISH-AG","Action group","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"vault-pe","Private endpoint","Central India","vault-pe","Private endpoint","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"vault-pe.nic.f635cf58-3d25-4edb-8d8d-b379aa5cbd0a","Network Interface","Central India","vault-pe.nic.f635cf58-3d25-4edb-8d8d-b379aa5cbd0a","Network interface","Regular","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"VMInsights(log-redaitapp-ws)","Solution","Central India","VMInsights(log-redaitapp-ws)","Solution","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"weather-subnet-nsg","Network security group","Central India","weather-subnet-nsg","Network security group","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"weather-vm","Virtual machine","Central India","WEATHER-VM","Virtual machine","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"weather-vm-ip","Public IP address","Central India","weather-vm-ip","Public IP address","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"weather-vm-nsg","Network security group","Central India","weather-vm-nsg","Network security group","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"weather-vm352","Network Interface","Central India","weather-vm352","Network interface","Regular","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"weather-vm_disk1_c85b0f35cd8242598e0044e7aeff7353","Disk","Central India","weather-vm_disk1_c85b0f35cd8242598e0044e7aeff7353","Disk","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"weather-vnet","Virtual network","Central India","weather-vnet","Virtual network","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"weathervmnsg173","Network security group","Central India","weathervmnsg173","Network security group","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"weathervmnsg655","Network security group","Central India","weathervmnsg655","Network security group","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
