ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,ServiceName,ServiceTier,Meter,Cost,CostUSD,Currency
sbreaditredis,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.cache/redis/sbreaditredis,Redis cache,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Redis Cache,Basic,C0 Cache,1002.186608,12.17334888,INR
catalog-vm_osdisk_1_e2f5328019f0483ead8d5aff469a11ba,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/disks/catalog-vm_osdisk_1_e2f5328019f0483ead8d5aff469a11ba,Disk,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Storage,Standard SSD Managed Disks,E10 Disks,761.2799182,9.242971165,INR
catalog-vm_osdisk_1_e2f5328019f0483ead8d5aff469a11ba,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/disks/catalog-vm_osdisk_1_e2f5328019f0483ead8d5aff469a11ba,Disk,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Storage,Standard SSD Managed Disks,Disk Operations,11.30367477,0.137328752,INR
interstellar_disk1_e3a16eb7041c480ea4562851c64d151c,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/disks/interstellar_disk1_e3a16eb7041c480ea4562851c64d151c,Disk,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Storage,Standard SSD Managed Disks,E10 Disks,761.2799182,9.242971165,INR
interstellar_disk1_e3a16eb7041c480ea4562851c64d151c,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/disks/interstellar_disk1_e3a16eb7041c480ea4562851c64d151c,Disk,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Storage,Standard SSD Managed Disks,Disk Operations,3.303333846,0.04000586,INR
sb-readit-dbserver / readit-db,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.sql/servers/sb-readit-dbserver/databases/readit-db,SQL database,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],SQL Database,Single Basic,B DTU,410.853898,4.988388023,INR
sbreaditacr,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.containerregistry/registries/sbreaditacr,Container registry,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Container Registry,,Basic Registry Unit,361.6978476,4.391060536,INR
sbreaditacr,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.containerregistry/registries/sbreaditacr,Container registry,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Container Registry,,Task vCPU Duration,2.575784,0.031390467,INR
catalog-vm-ip,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/publicipaddresses/catalog-vm-ip,Public IP address,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Virtual Network,IP Addresses,Standard IPv4 Static Public IP,268.194976,3.256280761,INR
interstellar-ip,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.network/publicipaddresses/interstellar-ip,Public IP address,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Virtual Network,IP Addresses,Standard IPv4 Static Public IP,268.194976,3.256280761,INR
sbreaditapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/frontdoors/sbreaditapp,Front Door,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,Unknown,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Azure Front Door Service,,Standard Included Routing Rules,237.959535,2.89995625,INR
sbreaditapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/frontdoors/sbreaditapp,Front Door,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,Unknown,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],"Bandwidth, Azure Front Door Service",,Standard Data Transfer Out,21.86794691,0.266499467,INR
sbreaditapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/frontdoors/sbreaditapp,Front Door,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,Unknown,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Azure Front Door Service,,Standard Data Transfer In,2.75028E-06,3.3517E-08,INR
defaultworkspace-centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/defaultresourcegroup-centralindia/providers/microsoft.operationalinsights/workspaces/defaultworkspace-centralindia,Log Analytics workspace,defaultresourcegroup-centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/defaultresourcegroup-centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Log Analytics,,Pay-as-you-go Data Ingestion,228.8890606,2.785909059,INR
